2025-03-16 00:03:34,874 - | Round:   1 | train_loss: 1.10523 | test_loss: 1.10267 | train_acc: 0.29100 | test_acc: 0.29500 |
2025-03-16 00:03:37,914 - | Round:   2 | train_loss: 1.10127 | test_loss: 1.09839 | train_acc: 0.29700 | test_acc: 0.30600 |
2025-03-16 00:03:40,949 - | Round:   3 | train_loss: 1.09911 | test_loss: 1.09712 | train_acc: 0.30350 | test_acc: 0.31500 |
2025-03-16 00:03:43,989 - | Round:   4 | train_loss: 1.09814 | test_loss: 1.09570 | train_acc: 0.28975 | test_acc: 0.29300 |
2025-03-16 00:03:47,040 - | Round:   5 | train_loss: 1.09510 | test_loss: 1.09276 | train_acc: 0.29500 | test_acc: 0.29700 |
2025-03-16 00:03:50,082 - | Round:   6 | train_loss: 1.09051 | test_loss: 1.08730 | train_acc: 0.34100 | test_acc: 0.35600 |
2025-03-16 00:03:53,126 - | Round:   7 | train_loss: 1.08944 | test_loss: 1.08592 | train_acc: 0.34775 | test_acc: 0.36800 |
2025-03-16 00:03:56,156 - | Round:   8 | train_loss: 1.08644 | test_loss: 1.08326 | train_acc: 0.37625 | test_acc: 0.38700 |
2025-03-16 00:03:59,215 - | Round:   9 | train_loss: 1.08580 | test_loss: 1.08150 | train_acc: 0.39250 | test_acc: 0.39600 |
2025-03-16 00:04:02,286 - | Round:  10 | train_loss: 1.08567 | test_loss: 1.08090 | train_acc: 0.39725 | test_acc: 0.41100 |
2025-03-16 00:04:05,348 - | Round:  11 | train_loss: 1.09408 | test_loss: 1.08747 | train_acc: 0.32725 | test_acc: 0.36000 |
2025-03-16 00:04:08,384 - | Round:  12 | train_loss: 1.09130 | test_loss: 1.08556 | train_acc: 0.32250 | test_acc: 0.36800 |
2025-03-16 00:04:11,180 - | Round:  13 | train_loss: 1.09028 | test_loss: 1.08484 | train_acc: 0.32250 | test_acc: 0.35600 |
2025-03-16 00:04:13,701 - | Round:  14 | train_loss: 1.08981 | test_loss: 1.08391 | train_acc: 0.33525 | test_acc: 0.36800 |
2025-03-16 00:04:16,221 - | Round:  15 | train_loss: 1.09092 | test_loss: 1.08676 | train_acc: 0.32525 | test_acc: 0.35700 |
2025-03-16 00:04:18,734 - | Round:  16 | train_loss: 1.08911 | test_loss: 1.08328 | train_acc: 0.32775 | test_acc: 0.36200 |
2025-03-16 00:04:21,245 - | Round:  17 | train_loss: 1.08328 | test_loss: 1.07809 | train_acc: 0.36475 | test_acc: 0.39500 |
2025-03-16 00:04:23,777 - | Round:  18 | train_loss: 1.08178 | test_loss: 1.07672 | train_acc: 0.38775 | test_acc: 0.39200 |
2025-03-16 00:04:26,297 - | Round:  19 | train_loss: 1.08024 | test_loss: 1.07459 | train_acc: 0.39600 | test_acc: 0.41200 |
2025-03-16 00:04:28,821 - | Round:  20 | train_loss: 1.07951 | test_loss: 1.07507 | train_acc: 0.40275 | test_acc: 0.41100 |
2025-03-16 00:04:31,333 - | Round:  21 | train_loss: 1.07891 | test_loss: 1.07510 | train_acc: 0.40925 | test_acc: 0.40200 |
2025-03-16 00:04:33,847 - | Round:  22 | train_loss: 1.07618 | test_loss: 1.07344 | train_acc: 0.41700 | test_acc: 0.41100 |
2025-03-16 00:04:36,345 - | Round:  23 | train_loss: 1.07189 | test_loss: 1.06871 | train_acc: 0.45300 | test_acc: 0.44700 |
2025-03-16 00:04:38,835 - | Round:  24 | train_loss: 1.07201 | test_loss: 1.06821 | train_acc: 0.44900 | test_acc: 0.44000 |
2025-03-16 00:04:41,357 - | Round:  25 | train_loss: 1.07154 | test_loss: 1.06830 | train_acc: 0.44175 | test_acc: 0.43200 |
2025-03-16 00:04:43,888 - | Round:  26 | train_loss: 1.07133 | test_loss: 1.06683 | train_acc: 0.44375 | test_acc: 0.44000 |
2025-03-16 00:04:46,415 - | Round:  27 | train_loss: 1.06983 | test_loss: 1.06574 | train_acc: 0.44450 | test_acc: 0.43900 |
2025-03-16 00:04:48,921 - | Round:  28 | train_loss: 1.06845 | test_loss: 1.06403 | train_acc: 0.44375 | test_acc: 0.42900 |
2025-03-16 00:04:51,443 - | Round:  29 | train_loss: 1.06777 | test_loss: 1.06436 | train_acc: 0.44950 | test_acc: 0.43800 |
2025-03-16 00:04:53,965 - | Round:  30 | train_loss: 1.06723 | test_loss: 1.05979 | train_acc: 0.45575 | test_acc: 0.48500 |
2025-03-16 00:04:56,470 - | Round:  31 | train_loss: 1.06242 | test_loss: 1.05732 | train_acc: 0.48250 | test_acc: 0.49600 |
2025-03-16 00:04:58,977 - | Round:  32 | train_loss: 1.06351 | test_loss: 1.05999 | train_acc: 0.46050 | test_acc: 0.45600 |
2025-03-16 00:05:01,524 - | Round:  33 | train_loss: 1.06338 | test_loss: 1.06008 | train_acc: 0.45025 | test_acc: 0.45200 |
2025-03-16 00:05:04,052 - | Round:  34 | train_loss: 1.06138 | test_loss: 1.05761 | train_acc: 0.46250 | test_acc: 0.45800 |
2025-03-16 00:05:06,569 - | Round:  35 | train_loss: 1.06009 | test_loss: 1.05663 | train_acc: 0.45575 | test_acc: 0.45700 |
2025-03-16 00:05:09,091 - | Round:  36 | train_loss: 1.05858 | test_loss: 1.05616 | train_acc: 0.46350 | test_acc: 0.46500 |
2025-03-16 00:05:11,586 - | Round:  37 | train_loss: 1.05712 | test_loss: 1.05410 | train_acc: 0.47400 | test_acc: 0.46800 |
2025-03-16 00:05:14,133 - | Round:  38 | train_loss: 1.05653 | test_loss: 1.05405 | train_acc: 0.46650 | test_acc: 0.47000 |
2025-03-16 00:05:16,638 - | Round:  39 | train_loss: 1.05505 | test_loss: 1.05269 | train_acc: 0.46975 | test_acc: 0.47300 |
2025-03-16 00:05:19,154 - | Round:  40 | train_loss: 1.05477 | test_loss: 1.05232 | train_acc: 0.46075 | test_acc: 0.47700 |
2025-03-16 00:05:21,653 - | Round:  41 | train_loss: 1.05450 | test_loss: 1.05180 | train_acc: 0.47800 | test_acc: 0.49300 |
2025-03-16 00:05:24,147 - | Round:  42 | train_loss: 1.05189 | test_loss: 1.04974 | train_acc: 0.47775 | test_acc: 0.48200 |
2025-03-16 00:05:26,649 - | Round:  43 | train_loss: 1.05222 | test_loss: 1.04908 | train_acc: 0.48150 | test_acc: 0.48800 |
2025-03-16 00:05:29,174 - | Round:  44 | train_loss: 1.05037 | test_loss: 1.04867 | train_acc: 0.46900 | test_acc: 0.46600 |
2025-03-16 00:05:31,685 - | Round:  45 | train_loss: 1.04860 | test_loss: 1.04619 | train_acc: 0.48750 | test_acc: 0.49000 |
2025-03-16 00:05:34,199 - | Round:  46 | train_loss: 1.04789 | test_loss: 1.04529 | train_acc: 0.49225 | test_acc: 0.49200 |
2025-03-16 00:05:36,720 - | Round:  47 | train_loss: 1.04634 | test_loss: 1.04412 | train_acc: 0.48925 | test_acc: 0.48900 |
2025-03-16 00:05:39,248 - | Round:  48 | train_loss: 1.04524 | test_loss: 1.04264 | train_acc: 0.49075 | test_acc: 0.50200 |
2025-03-16 00:05:41,748 - | Round:  49 | train_loss: 1.04392 | test_loss: 1.04191 | train_acc: 0.50125 | test_acc: 0.50000 |
2025-03-16 00:05:44,257 - | Round:  50 | train_loss: 1.04284 | test_loss: 1.04034 | train_acc: 0.50825 | test_acc: 0.50000 |
2025-03-16 00:05:46,767 - | Round:  51 | train_loss: 1.04290 | test_loss: 1.03844 | train_acc: 0.50625 | test_acc: 0.51100 |
2025-03-16 00:05:49,262 - | Round:  52 | train_loss: 1.04276 | test_loss: 1.03962 | train_acc: 0.49700 | test_acc: 0.50200 |
2025-03-16 00:05:51,759 - | Round:  53 | train_loss: 1.04128 | test_loss: 1.03870 | train_acc: 0.48850 | test_acc: 0.49700 |
2025-03-16 00:05:54,281 - | Round:  54 | train_loss: 1.03959 | test_loss: 1.03657 | train_acc: 0.49975 | test_acc: 0.48900 |
2025-03-16 00:05:56,789 - | Round:  55 | train_loss: 1.03848 | test_loss: 1.03596 | train_acc: 0.49850 | test_acc: 0.49800 |
2025-03-16 00:05:59,312 - | Round:  56 | train_loss: 1.03588 | test_loss: 1.03503 | train_acc: 0.49775 | test_acc: 0.50700 |
2025-03-16 00:06:01,833 - | Round:  57 | train_loss: 1.03647 | test_loss: 1.03410 | train_acc: 0.49375 | test_acc: 0.50800 |
2025-03-16 00:06:04,334 - | Round:  58 | train_loss: 1.03571 | test_loss: 1.03378 | train_acc: 0.50550 | test_acc: 0.50800 |
2025-03-16 00:06:06,848 - | Round:  59 | train_loss: 1.03379 | test_loss: 1.03190 | train_acc: 0.50725 | test_acc: 0.51600 |
2025-03-16 00:06:09,351 - | Round:  60 | train_loss: 1.03476 | test_loss: 1.03104 | train_acc: 0.49350 | test_acc: 0.51700 |
2025-03-16 00:06:11,878 - | Round:  61 | train_loss: 1.03031 | test_loss: 1.02859 | train_acc: 0.51275 | test_acc: 0.53400 |
2025-03-16 00:06:14,394 - | Round:  62 | train_loss: 1.02978 | test_loss: 1.02800 | train_acc: 0.50950 | test_acc: 0.53300 |
2025-03-16 00:06:16,904 - | Round:  63 | train_loss: 1.02862 | test_loss: 1.02649 | train_acc: 0.53375 | test_acc: 0.53100 |
2025-03-16 00:06:19,434 - | Round:  64 | train_loss: 1.02778 | test_loss: 1.02419 | train_acc: 0.52000 | test_acc: 0.53500 |
2025-03-16 00:06:21,942 - | Round:  65 | train_loss: 1.02611 | test_loss: 1.02204 | train_acc: 0.52425 | test_acc: 0.54300 |
2025-03-16 00:06:24,448 - | Round:  66 | train_loss: 1.02423 | test_loss: 1.02037 | train_acc: 0.53175 | test_acc: 0.54400 |
2025-03-16 00:06:26,949 - | Round:  67 | train_loss: 1.02382 | test_loss: 1.02004 | train_acc: 0.51900 | test_acc: 0.53600 |
2025-03-16 00:06:29,460 - | Round:  68 | train_loss: 1.02285 | test_loss: 1.02034 | train_acc: 0.54025 | test_acc: 0.53300 |
2025-03-16 00:06:31,951 - | Round:  69 | train_loss: 1.02369 | test_loss: 1.02079 | train_acc: 0.53750 | test_acc: 0.53400 |
2025-03-16 00:06:34,466 - | Round:  70 | train_loss: 1.02173 | test_loss: 1.01865 | train_acc: 0.53450 | test_acc: 0.53600 |
2025-03-16 00:06:36,968 - | Round:  71 | train_loss: 1.02027 | test_loss: 1.01807 | train_acc: 0.53950 | test_acc: 0.53800 |
2025-03-16 00:06:39,477 - | Round:  72 | train_loss: 1.01975 | test_loss: 1.01685 | train_acc: 0.53675 | test_acc: 0.53800 |
2025-03-16 00:06:41,970 - | Round:  73 | train_loss: 1.01816 | test_loss: 1.01536 | train_acc: 0.53775 | test_acc: 0.54000 |
2025-03-16 00:06:44,493 - | Round:  74 | train_loss: 1.01782 | test_loss: 1.01531 | train_acc: 0.53350 | test_acc: 0.53800 |
2025-03-16 00:06:47,002 - | Round:  75 | train_loss: 1.01606 | test_loss: 1.01315 | train_acc: 0.54600 | test_acc: 0.54400 |
2025-03-16 00:06:49,504 - | Round:  76 | train_loss: 1.01504 | test_loss: 1.01204 | train_acc: 0.54525 | test_acc: 0.54500 |
2025-03-16 00:06:52,019 - | Round:  77 | train_loss: 1.01454 | test_loss: 1.01046 | train_acc: 0.55025 | test_acc: 0.54400 |
2025-03-16 00:06:54,529 - | Round:  78 | train_loss: 1.01379 | test_loss: 1.01002 | train_acc: 0.54400 | test_acc: 0.55200 |
2025-03-16 00:06:57,028 - | Round:  79 | train_loss: 1.01246 | test_loss: 1.00925 | train_acc: 0.55250 | test_acc: 0.55200 |
2025-03-16 00:06:59,526 - | Round:  80 | train_loss: 1.01136 | test_loss: 1.00877 | train_acc: 0.54625 | test_acc: 0.54700 |
2025-03-16 00:07:02,050 - | Round:  81 | train_loss: 1.01077 | test_loss: 1.00846 | train_acc: 0.54125 | test_acc: 0.54900 |
2025-03-16 00:07:04,563 - | Round:  82 | train_loss: 1.00915 | test_loss: 1.00603 | train_acc: 0.54350 | test_acc: 0.54800 |
2025-03-16 00:07:07,068 - | Round:  83 | train_loss: 1.00758 | test_loss: 1.00416 | train_acc: 0.55100 | test_acc: 0.54300 |
2025-03-16 00:07:09,579 - | Round:  84 | train_loss: 1.00525 | test_loss: 1.00196 | train_acc: 0.55175 | test_acc: 0.54000 |
2025-03-16 00:07:12,098 - | Round:  85 | train_loss: 1.00384 | test_loss: 1.00004 | train_acc: 0.54900 | test_acc: 0.54600 |
2025-03-16 00:07:14,609 - | Round:  86 | train_loss: 1.00239 | test_loss: 0.99987 | train_acc: 0.55625 | test_acc: 0.54900 |
2025-03-16 00:07:17,115 - | Round:  87 | train_loss: 1.00207 | test_loss: 0.99978 | train_acc: 0.55500 | test_acc: 0.55000 |
2025-03-16 00:07:19,610 - | Round:  88 | train_loss: 1.00105 | test_loss: 0.99632 | train_acc: 0.56150 | test_acc: 0.55300 |
2025-03-16 00:07:22,151 - | Round:  89 | train_loss: 1.00036 | test_loss: 0.99608 | train_acc: 0.54875 | test_acc: 0.54800 |
2025-03-16 00:07:24,688 - | Round:  90 | train_loss: 1.00020 | test_loss: 0.99511 | train_acc: 0.54300 | test_acc: 0.54300 |
2025-03-16 00:07:27,230 - | Round:  91 | train_loss: 1.00329 | test_loss: 0.99900 | train_acc: 0.53625 | test_acc: 0.53200 |
