2025-03-15 23:58:27,624 - | Round:   1 | train_loss: 1.11341 | test_loss: 1.11437 | train_acc: 0.28700 | test_acc: 0.29400 |
2025-03-15 23:58:30,683 - | Round:   2 | train_loss: 1.11734 | test_loss: 1.11785 | train_acc: 0.23250 | test_acc: 0.24200 |
2025-03-15 23:58:33,741 - | Round:   3 | train_loss: 1.10839 | test_loss: 1.10843 | train_acc: 0.27775 | test_acc: 0.28600 |
2025-03-15 23:58:36,791 - | Round:   4 | train_loss: 1.10598 | test_loss: 1.10638 | train_acc: 0.26625 | test_acc: 0.29400 |
2025-03-15 23:58:39,840 - | Round:   5 | train_loss: 1.09340 | test_loss: 1.09753 | train_acc: 0.37825 | test_acc: 0.37600 |
2025-03-15 23:58:42,883 - | Round:   6 | train_loss: 1.09334 | test_loss: 1.09789 | train_acc: 0.36250 | test_acc: 0.38400 |
2025-03-15 23:58:45,903 - | Round:   7 | train_loss: 1.09234 | test_loss: 1.09540 | train_acc: 0.39250 | test_acc: 0.36600 |
2025-03-15 23:58:48,954 - | Round:   8 | train_loss: 1.09151 | test_loss: 1.09472 | train_acc: 0.37950 | test_acc: 0.36800 |
2025-03-15 23:58:51,978 - | Round:   9 | train_loss: 1.08782 | test_loss: 1.09101 | train_acc: 0.39875 | test_acc: 0.38000 |
2025-03-15 23:58:55,026 - | Round:  10 | train_loss: 1.08571 | test_loss: 1.08835 | train_acc: 0.40850 | test_acc: 0.40600 |
2025-03-15 23:58:58,040 - | Round:  11 | train_loss: 1.08407 | test_loss: 1.08715 | train_acc: 0.43600 | test_acc: 0.41000 |
2025-03-15 23:59:01,092 - | Round:  12 | train_loss: 1.08329 | test_loss: 1.08635 | train_acc: 0.43350 | test_acc: 0.42900 |
2025-03-15 23:59:04,132 - | Round:  13 | train_loss: 1.08018 | test_loss: 1.08412 | train_acc: 0.45850 | test_acc: 0.44500 |
2025-03-15 23:59:07,170 - | Round:  14 | train_loss: 1.07766 | test_loss: 1.08294 | train_acc: 0.46275 | test_acc: 0.44500 |
2025-03-15 23:59:10,231 - | Round:  15 | train_loss: 1.07673 | test_loss: 1.08155 | train_acc: 0.45800 | test_acc: 0.45300 |
2025-03-15 23:59:13,264 - | Round:  16 | train_loss: 1.07344 | test_loss: 1.07910 | train_acc: 0.46575 | test_acc: 0.44700 |
2025-03-15 23:59:16,298 - | Round:  17 | train_loss: 1.07287 | test_loss: 1.07853 | train_acc: 0.45825 | test_acc: 0.44000 |
2025-03-15 23:59:19,334 - | Round:  18 | train_loss: 1.07149 | test_loss: 1.07637 | train_acc: 0.47325 | test_acc: 0.46200 |
2025-03-15 23:59:22,382 - | Round:  19 | train_loss: 1.06618 | test_loss: 1.07139 | train_acc: 0.50450 | test_acc: 0.48600 |
2025-03-15 23:59:25,431 - | Round:  20 | train_loss: 1.06793 | test_loss: 1.07372 | train_acc: 0.49250 | test_acc: 0.48500 |
2025-03-15 23:59:28,456 - | Round:  21 | train_loss: 1.06879 | test_loss: 1.07383 | train_acc: 0.48125 | test_acc: 0.47800 |
2025-03-15 23:59:31,502 - | Round:  22 | train_loss: 1.06601 | test_loss: 1.07118 | train_acc: 0.49200 | test_acc: 0.48300 |
2025-03-15 23:59:34,575 - | Round:  23 | train_loss: 1.06508 | test_loss: 1.07189 | train_acc: 0.48775 | test_acc: 0.47400 |
2025-03-15 23:59:37,628 - | Round:  24 | train_loss: 1.06292 | test_loss: 1.06912 | train_acc: 0.50125 | test_acc: 0.47300 |
2025-03-15 23:59:40,677 - | Round:  25 | train_loss: 1.06376 | test_loss: 1.06925 | train_acc: 0.50225 | test_acc: 0.46600 |
2025-03-15 23:59:43,712 - | Round:  26 | train_loss: 1.06367 | test_loss: 1.06886 | train_acc: 0.50325 | test_acc: 0.47300 |
