2025-03-15 23:53:52,879 - | Round:   1 | train_loss: 1.10325 | test_loss: 1.10249 | train_acc: 0.32725 | test_acc: 0.31200 |
2025-03-15 23:53:55,719 - | Round:   2 | train_loss: 1.09436 | test_loss: 1.09564 | train_acc: 0.33225 | test_acc: 0.31800 |
2025-03-15 23:53:58,555 - | Round:   3 | train_loss: 1.09349 | test_loss: 1.09579 | train_acc: 0.34825 | test_acc: 0.33400 |
2025-03-15 23:54:01,372 - | Round:   4 | train_loss: 1.08901 | test_loss: 1.09042 | train_acc: 0.35225 | test_acc: 0.35100 |
2025-03-15 23:54:04,198 - | Round:   5 | train_loss: 1.08365 | test_loss: 1.08611 | train_acc: 0.36475 | test_acc: 0.35300 |
2025-03-15 23:54:07,015 - | Round:   6 | train_loss: 1.08692 | test_loss: 1.08736 | train_acc: 0.38175 | test_acc: 0.39400 |
2025-03-15 23:54:09,836 - | Round:   7 | train_loss: 1.08649 | test_loss: 1.08827 | train_acc: 0.38875 | test_acc: 0.39800 |
2025-03-15 23:54:12,662 - | Round:   8 | train_loss: 1.08193 | test_loss: 1.08395 | train_acc: 0.36500 | test_acc: 0.36300 |
2025-03-15 23:54:15,498 - | Round:   9 | train_loss: 1.08288 | test_loss: 1.08775 | train_acc: 0.37875 | test_acc: 0.34500 |
2025-03-15 23:54:18,344 - | Round:  10 | train_loss: 1.08408 | test_loss: 1.08716 | train_acc: 0.37375 | test_acc: 0.35900 |
2025-03-15 23:54:21,146 - | Round:  11 | train_loss: 1.08123 | test_loss: 1.08617 | train_acc: 0.38025 | test_acc: 0.35100 |
2025-03-15 23:54:23,953 - | Round:  12 | train_loss: 1.07968 | test_loss: 1.08499 | train_acc: 0.39975 | test_acc: 0.36500 |
2025-03-15 23:54:26,793 - | Round:  13 | train_loss: 1.07922 | test_loss: 1.08368 | train_acc: 0.39275 | test_acc: 0.36700 |
2025-03-15 23:54:29,615 - | Round:  14 | train_loss: 1.07229 | test_loss: 1.07704 | train_acc: 0.41750 | test_acc: 0.40400 |
2025-03-15 23:54:32,472 - | Round:  15 | train_loss: 1.07142 | test_loss: 1.07434 | train_acc: 0.40650 | test_acc: 0.40600 |
2025-03-15 23:54:35,278 - | Round:  16 | train_loss: 1.07185 | test_loss: 1.07512 | train_acc: 0.42375 | test_acc: 0.41500 |
2025-03-15 23:54:38,094 - | Round:  17 | train_loss: 1.06813 | test_loss: 1.07257 | train_acc: 0.44425 | test_acc: 0.42200 |
2025-03-15 23:54:40,900 - | Round:  18 | train_loss: 1.06953 | test_loss: 1.07335 | train_acc: 0.43875 | test_acc: 0.42500 |
2025-03-15 23:54:43,726 - | Round:  19 | train_loss: 1.07092 | test_loss: 1.07445 | train_acc: 0.42375 | test_acc: 0.42100 |
2025-03-15 23:54:46,549 - | Round:  20 | train_loss: 1.06748 | test_loss: 1.07136 | train_acc: 0.44100 | test_acc: 0.44000 |
2025-03-15 23:54:49,365 - | Round:  21 | train_loss: 1.06665 | test_loss: 1.07056 | train_acc: 0.43525 | test_acc: 0.41300 |
2025-03-15 23:54:52,186 - | Round:  22 | train_loss: 1.06472 | test_loss: 1.06952 | train_acc: 0.43425 | test_acc: 0.41600 |
2025-03-15 23:54:55,012 - | Round:  23 | train_loss: 1.06414 | test_loss: 1.06894 | train_acc: 0.43725 | test_acc: 0.41000 |
2025-03-15 23:54:57,808 - | Round:  24 | train_loss: 1.06613 | test_loss: 1.06948 | train_acc: 0.43575 | test_acc: 0.42100 |
2025-03-15 23:55:00,660 - | Round:  25 | train_loss: 1.06632 | test_loss: 1.07000 | train_acc: 0.43775 | test_acc: 0.41300 |
2025-03-15 23:55:03,497 - | Round:  26 | train_loss: 1.06318 | test_loss: 1.06942 | train_acc: 0.44375 | test_acc: 0.41500 |
2025-03-15 23:55:06,309 - | Round:  27 | train_loss: 1.06304 | test_loss: 1.06827 | train_acc: 0.45200 | test_acc: 0.42500 |
2025-03-15 23:55:09,125 - | Round:  28 | train_loss: 1.06165 | test_loss: 1.06777 | train_acc: 0.44775 | test_acc: 0.42700 |
2025-03-15 23:55:11,947 - | Round:  29 | train_loss: 1.05982 | test_loss: 1.06581 | train_acc: 0.45500 | test_acc: 0.43100 |
2025-03-15 23:55:14,760 - | Round:  30 | train_loss: 1.05829 | test_loss: 1.06420 | train_acc: 0.45400 | test_acc: 0.44000 |
2025-03-15 23:55:17,318 - | Round:  31 | train_loss: 1.05562 | test_loss: 1.06193 | train_acc: 0.46225 | test_acc: 0.46100 |
2025-03-15 23:55:19,870 - | Round:  32 | train_loss: 1.05603 | test_loss: 1.06172 | train_acc: 0.46975 | test_acc: 0.46200 |
2025-03-15 23:55:22,383 - | Round:  33 | train_loss: 1.05623 | test_loss: 1.06259 | train_acc: 0.46250 | test_acc: 0.44800 |
2025-03-15 23:55:24,911 - | Round:  34 | train_loss: 1.05439 | test_loss: 1.06064 | train_acc: 0.47225 | test_acc: 0.46800 |
2025-03-15 23:55:27,433 - | Round:  35 | train_loss: 1.05412 | test_loss: 1.06056 | train_acc: 0.47850 | test_acc: 0.45900 |
2025-03-15 23:55:29,961 - | Round:  36 | train_loss: 1.05360 | test_loss: 1.05908 | train_acc: 0.47150 | test_acc: 0.47300 |
2025-03-15 23:55:32,496 - | Round:  37 | train_loss: 1.05138 | test_loss: 1.05782 | train_acc: 0.48325 | test_acc: 0.46000 |
2025-03-15 23:55:35,010 - | Round:  38 | train_loss: 1.05346 | test_loss: 1.05893 | train_acc: 0.48875 | test_acc: 0.46500 |
2025-03-15 23:55:37,540 - | Round:  39 | train_loss: 1.05314 | test_loss: 1.05887 | train_acc: 0.47025 | test_acc: 0.45000 |
2025-03-15 23:55:40,071 - | Round:  40 | train_loss: 1.05491 | test_loss: 1.05949 | train_acc: 0.46475 | test_acc: 0.44300 |
2025-03-15 23:55:42,609 - | Round:  41 | train_loss: 1.05389 | test_loss: 1.05795 | train_acc: 0.47550 | test_acc: 0.45300 |
2025-03-15 23:55:45,140 - | Round:  42 | train_loss: 1.05071 | test_loss: 1.05606 | train_acc: 0.49750 | test_acc: 0.47900 |
2025-03-15 23:55:47,660 - | Round:  43 | train_loss: 1.05069 | test_loss: 1.05454 | train_acc: 0.48600 | test_acc: 0.47200 |
2025-03-15 23:55:50,189 - | Round:  44 | train_loss: 1.04793 | test_loss: 1.05301 | train_acc: 0.47625 | test_acc: 0.45800 |
2025-03-15 23:55:52,719 - | Round:  45 | train_loss: 1.04756 | test_loss: 1.05085 | train_acc: 0.47525 | test_acc: 0.46900 |
2025-03-15 23:55:55,248 - | Round:  46 | train_loss: 1.04445 | test_loss: 1.04943 | train_acc: 0.49775 | test_acc: 0.48900 |
