2025-03-16 00:07:55,488 - | Round:   1 | train_loss: 1.09806 | test_loss: 1.09469 | train_acc: 0.34900 | test_acc: 0.36100 |
2025-03-16 00:07:58,023 - | Round:   2 | train_loss: 1.09514 | test_loss: 1.09025 | train_acc: 0.33525 | test_acc: 0.35900 |
2025-03-16 00:08:00,541 - | Round:   3 | train_loss: 1.08952 | test_loss: 1.08739 | train_acc: 0.39825 | test_acc: 0.39200 |
2025-03-16 00:08:03,055 - | Round:   4 | train_loss: 1.08860 | test_loss: 1.08610 | train_acc: 0.40125 | test_acc: 0.40200 |
2025-03-16 00:08:05,588 - | Round:   5 | train_loss: 1.08847 | test_loss: 1.08482 | train_acc: 0.40300 | test_acc: 0.42200 |
2025-03-16 00:08:08,107 - | Round:   6 | train_loss: 1.08726 | test_loss: 1.08412 | train_acc: 0.41400 | test_acc: 0.42400 |
2025-03-16 00:08:10,650 - | Round:   7 | train_loss: 1.08487 | test_loss: 1.08271 | train_acc: 0.42925 | test_acc: 0.42400 |
2025-03-16 00:08:13,178 - | Round:   8 | train_loss: 1.08470 | test_loss: 1.08200 | train_acc: 0.43175 | test_acc: 0.43000 |
2025-03-16 00:08:15,717 - | Round:   9 | train_loss: 1.08201 | test_loss: 1.07944 | train_acc: 0.46675 | test_acc: 0.46400 |
2025-03-16 00:08:18,266 - | Round:  10 | train_loss: 1.08364 | test_loss: 1.08210 | train_acc: 0.42575 | test_acc: 0.43200 |
2025-03-16 00:08:20,811 - | Round:  11 | train_loss: 1.08288 | test_loss: 1.08116 | train_acc: 0.42900 | test_acc: 0.45200 |
2025-03-16 00:08:23,360 - | Round:  12 | train_loss: 1.08102 | test_loss: 1.07980 | train_acc: 0.44225 | test_acc: 0.45800 |
2025-03-16 00:08:25,890 - | Round:  13 | train_loss: 1.08016 | test_loss: 1.07935 | train_acc: 0.43600 | test_acc: 0.44200 |
2025-03-16 00:08:28,429 - | Round:  14 | train_loss: 1.08081 | test_loss: 1.07864 | train_acc: 0.43850 | test_acc: 0.46000 |
2025-03-16 00:08:30,957 - | Round:  15 | train_loss: 1.07853 | test_loss: 1.07703 | train_acc: 0.43675 | test_acc: 0.44500 |
2025-03-16 00:08:33,474 - | Round:  16 | train_loss: 1.07705 | test_loss: 1.07553 | train_acc: 0.43625 | test_acc: 0.46300 |
2025-03-16 00:08:36,006 - | Round:  17 | train_loss: 1.07749 | test_loss: 1.07564 | train_acc: 0.43975 | test_acc: 0.45200 |
2025-03-16 00:08:38,527 - | Round:  18 | train_loss: 1.07489 | test_loss: 1.07311 | train_acc: 0.43550 | test_acc: 0.45000 |
2025-03-16 00:08:41,048 - | Round:  19 | train_loss: 1.07460 | test_loss: 1.07304 | train_acc: 0.44550 | test_acc: 0.46500 |
2025-03-16 00:08:43,578 - | Round:  20 | train_loss: 1.07253 | test_loss: 1.07075 | train_acc: 0.45300 | test_acc: 0.46700 |
