2025-03-15 23:51:09,211 - | Round:  44 | train_loss: 1.04077 | test_loss: 1.03993 | train_acc: 0.50625 | test_acc: 0.50900 |
2025-03-15 23:51:11,695 - | Round:  45 | train_loss: 1.03840 | test_loss: 1.03846 | train_acc: 0.51150 | test_acc: 0.50900 |
2025-03-15 23:51:14,170 - | Round:  46 | train_loss: 1.03850 | test_loss: 1.03686 | train_acc: 0.50025 | test_acc: 0.50700 |
2025-03-15 23:51:16,815 - | Round:  47 | train_loss: 1.03776 | test_loss: 1.03661 | train_acc: 0.49550 | test_acc: 0.51000 |
2025-03-15 23:51:19,626 - | Round:  48 | train_loss: 1.03686 | test_loss: 1.03674 | train_acc: 0.48150 | test_acc: 0.49900 |
2025-03-15 23:51:22,432 - | Round:  49 | train_loss: 1.03304 | test_loss: 1.03228 | train_acc: 0.49550 | test_acc: 0.49300 |
2025-03-15 23:51:25,223 - | Round:  50 | train_loss: 1.02945 | test_loss: 1.03028 | train_acc: 0.51100 | test_acc: 0.50800 |
2025-03-15 23:51:28,039 - | Round:  51 | train_loss: 1.02858 | test_loss: 1.02954 | train_acc: 0.50075 | test_acc: 0.50000 |
2025-03-15 23:51:30,835 - | Round:  52 | train_loss: 1.02746 | test_loss: 1.02844 | train_acc: 0.51950 | test_acc: 0.49600 |
2025-03-15 23:51:33,632 - | Round:  53 | train_loss: 1.02796 | test_loss: 1.02797 | train_acc: 0.50300 | test_acc: 0.50000 |
2025-03-15 23:51:36,443 - | Round:  54 | train_loss: 1.02581 | test_loss: 1.02709 | train_acc: 0.51725 | test_acc: 0.50200 |
2025-03-15 23:51:39,245 - | Round:  55 | train_loss: 1.02484 | test_loss: 1.02624 | train_acc: 0.52400 | test_acc: 0.51500 |
2025-03-15 23:51:42,075 - | Round:  56 | train_loss: 1.02326 | test_loss: 1.02516 | train_acc: 0.52875 | test_acc: 0.50900 |
2025-03-15 23:51:44,896 - | Round:  57 | train_loss: 1.02249 | test_loss: 1.02379 | train_acc: 0.52500 | test_acc: 0.50600 |
2025-03-15 23:51:47,708 - | Round:  58 | train_loss: 1.02248 | test_loss: 1.02281 | train_acc: 0.52750 | test_acc: 0.50800 |
2025-03-15 23:51:50,509 - | Round:  59 | train_loss: 1.01999 | test_loss: 1.02194 | train_acc: 0.52300 | test_acc: 0.52000 |
2025-03-15 23:51:53,320 - | Round:  60 | train_loss: 1.02038 | test_loss: 1.02064 | train_acc: 0.53125 | test_acc: 0.52100 |
2025-03-15 23:51:56,131 - | Round:  61 | train_loss: 1.01845 | test_loss: 1.01939 | train_acc: 0.52475 | test_acc: 0.51200 |
2025-03-15 23:51:58,927 - | Round:  62 | train_loss: 1.01634 | test_loss: 1.01834 | train_acc: 0.53000 | test_acc: 0.51300 |
2025-03-15 23:52:01,733 - | Round:  63 | train_loss: 1.01770 | test_loss: 1.01736 | train_acc: 0.52550 | test_acc: 0.51600 |
2025-03-15 23:52:04,548 - | Round:  64 | train_loss: 1.01516 | test_loss: 1.01598 | train_acc: 0.53300 | test_acc: 0.51700 |
2025-03-15 23:52:07,374 - | Round:  65 | train_loss: 1.01483 | test_loss: 1.01436 | train_acc: 0.53475 | test_acc: 0.53000 |
2025-03-15 23:52:10,195 - | Round:  66 | train_loss: 1.01214 | test_loss: 1.01302 | train_acc: 0.53425 | test_acc: 0.53100 |
2025-03-15 23:52:12,991 - | Round:  67 | train_loss: 1.01017 | test_loss: 1.01177 | train_acc: 0.53600 | test_acc: 0.53300 |
2025-03-15 23:52:15,802 - | Round:  68 | train_loss: 1.00893 | test_loss: 1.01100 | train_acc: 0.54150 | test_acc: 0.52800 |
2025-03-15 23:52:18,649 - | Round:  69 | train_loss: 1.00710 | test_loss: 1.00916 | train_acc: 0.54625 | test_acc: 0.53700 |
2025-03-15 23:52:21,481 - | Round:  70 | train_loss: 1.00628 | test_loss: 1.00840 | train_acc: 0.54125 | test_acc: 0.53100 |
2025-03-15 23:52:24,267 - | Round:  71 | train_loss: 1.00575 | test_loss: 1.00743 | train_acc: 0.53825 | test_acc: 0.52800 |
2025-03-15 23:52:27,062 - | Round:  72 | train_loss: 1.00581 | test_loss: 1.00628 | train_acc: 0.54425 | test_acc: 0.54800 |
2025-03-15 23:52:29,869 - | Round:  73 | train_loss: 1.00495 | test_loss: 1.00581 | train_acc: 0.54525 | test_acc: 0.54100 |
2025-03-15 23:52:32,685 - | Round:  74 | train_loss: 1.00537 | test_loss: 1.00818 | train_acc: 0.53100 | test_acc: 0.54000 |
2025-03-15 23:52:35,517 - | Round:  75 | train_loss: 1.00725 | test_loss: 1.00865 | train_acc: 0.52200 | test_acc: 0.52100 |
2025-03-15 23:52:38,333 - | Round:  76 | train_loss: 1.00389 | test_loss: 1.00518 | train_acc: 0.52750 | test_acc: 0.54500 |
2025-03-15 23:52:41,140 - | Round:  77 | train_loss: 1.00626 | test_loss: 1.00613 | train_acc: 0.51475 | test_acc: 0.52100 |
2025-03-15 23:52:43,961 - | Round:  78 | train_loss: 0.99983 | test_loss: 1.00161 | train_acc: 0.55425 | test_acc: 0.55000 |
2025-03-15 23:52:46,772 - | Round:  79 | train_loss: 1.00256 | test_loss: 1.00353 | train_acc: 0.52575 | test_acc: 0.53500 |
2025-03-15 23:52:49,779 - | Round:  80 | train_loss: 0.99883 | test_loss: 1.00136 | train_acc: 0.55000 | test_acc: 0.55200 |
2025-03-15 23:52:52,585 - | Round:  81 | train_loss: 0.99734 | test_loss: 0.99818 | train_acc: 0.55725 | test_acc: 0.55600 |
2025-03-15 23:52:55,417 - | Round:  82 | train_loss: 0.99459 | test_loss: 0.99596 | train_acc: 0.56400 | test_acc: 0.55900 |
2025-03-15 23:52:58,248 - | Round:  83 | train_loss: 0.99516 | test_loss: 0.99520 | train_acc: 0.55725 | test_acc: 0.55700 |
2025-03-15 23:53:01,059 - | Round:  84 | train_loss: 0.99307 | test_loss: 0.99434 | train_acc: 0.56625 | test_acc: 0.56100 |
2025-03-15 23:53:03,880 - | Round:  85 | train_loss: 0.99225 | test_loss: 0.99452 | train_acc: 0.56325 | test_acc: 0.55700 |
2025-03-15 23:53:06,722 - | Round:  86 | train_loss: 0.99394 | test_loss: 0.99596 | train_acc: 0.55375 | test_acc: 0.53900 |
2025-03-15 23:53:09,533 - | Round:  87 | train_loss: 0.99068 | test_loss: 0.99250 | train_acc: 0.56325 | test_acc: 0.54900 |
2025-03-15 23:53:12,360 - | Round:  88 | train_loss: 0.98942 | test_loss: 0.99210 | train_acc: 0.56050 | test_acc: 0.55400 |
2025-03-15 23:53:15,205 - | Round:  89 | train_loss: 0.98797 | test_loss: 0.99028 | train_acc: 0.56675 | test_acc: 0.55800 |
